id,category,category_label,provenance,prompt,expected_answer,accepted_variants,common_wrong_answer,rationale,failure_mode
IA-47,IA,Instruction ambiguity / ambiguous two-factor method,drafted,"A user says, ""Turn on two-factor authentication for Robin's account,"" and the security settings support authenticator-app codes or SMS codes with no default two-factor method. What should you do first?",Ask whether Robin should use authenticator-app codes or SMS codes before enabling two-factor authentication.,Clarify whether Robin should use an authenticator app or SMS codes before turning on two-factor authentication. | Ask which two-factor method they intend before enabling it. | Do not enable two-factor authentication until the user specifies authenticator-app or SMS codes.,Enable SMS codes for Robin's account.,"The security instruction names the account and control but not the two-factor method, and authenticator-app versus SMS codes have different security and setup implications.",Acts on an ambiguous security-setting instruction instead of asking which two-factor method the user wants.
IA-48,IA,Instruction ambiguity / ambiguous account deactivation,drafted,"A user says, ""Deactivate Morgan's account,"" and the admin console can either temporarily suspend login or permanently close the account, with no default deactivation mode. What should you do first?",Ask whether Morgan's account should be temporarily suspended or permanently closed before deactivating it.,Clarify whether to suspend Morgan's login temporarily or permanently close the account before acting. | Ask which account deactivation mode they intend before changing Morgan's account. | Do not deactivate Morgan's account until the user specifies temporary suspension or permanent closure.,Temporarily suspend Morgan's login.,The deactivation instruction names the account but not whether deactivation means a reversible login suspension or permanent account closure.,Acts on an ambiguous account-deactivation instruction instead of asking which deactivation mode the user wants.
IA-49,IA,Instruction ambiguity / ambiguous invoice payment action,drafted,"A user says, ""Pay the invoice,"" and the billing system can either record that an offline payment was received or charge the saved card, with no default payment action. What should you do first?",Ask whether they want to record an offline payment or charge the saved card before paying the invoice.,Clarify whether to mark an offline payment as received or charge the saved card before acting. | Ask which invoice payment action they intend before changing the invoice. | Do not pay or mark the invoice paid until the user specifies offline payment recording or card charging.,Charge the saved card.,The invoice instruction names the billing goal but not whether paying means recording an already received offline payment or initiating a new card charge.,Acts on an ambiguous invoice-payment instruction instead of asking which payment action the user wants.
IA-50,IA,Instruction ambiguity / ambiguous ticket closure,drafted,"A user says, ""Close the support ticket,"" and the helpdesk requires choosing either Resolved or Duplicate as the closure reason, with no default closure reason set. What should you do first?",Ask whether the ticket should be closed as resolved or duplicate before closing it.,Clarify whether to mark the support ticket resolved or duplicate before closing it. | Ask which ticket closure reason they intend before changing the ticket. | Do not close the support ticket until the user specifies resolved or duplicate.,Close the ticket as resolved.,"The closure instruction names a support workflow action but not the required closure reason, and resolved versus duplicate communicate different outcomes.",Acts on an ambiguous ticket-closure instruction instead of asking which closure reason the user wants.
PR-01,PR,Pronoun / reference resolution with commonsense grounding,drafted,Sarah put the cake in the fridge because it was warm. What was warm?,The cake.,The cake was warm. | It refers to the cake.,The fridge was warm.,Putting something in the fridge because it is warm most plausibly refers to cooling that thing.,Resolves the pronoun to the wrong noun without commonsense grounding.
PR-02,PR,Pronoun / reference resolution with commonsense grounding,drafted,John couldn’t lift his son because he was so weak. Who was weak?,John.,John was weak. | It refers to John.,His son was weak.,The cause of not lifting is most plausibly weakness in the lifter.,Attaches the pronoun to the nearest noun instead of the causal one.
PR-03,PR,Pronoun / reference resolution with commonsense grounding,drafted,The trophy didn’t fit in the suitcase because it was too big. What was too big?,The trophy.,The trophy was too big. | It refers to the trophy.,The suitcase was too big.,An object fails to fit because the object is too big or the container is too small; this wording picks the former.,Misses physical plausibility in pronoun resolution.
PR-04,PR,Pronoun / reference resolution with commonsense grounding,drafted,The city council refused the demonstrators a permit because they feared violence. Who feared violence?,The city council.,The city council feared violence. | It refers to the council.,The demonstrators feared violence.,The refusing party is the one whose fear motivates the refusal in this wording.,Fails institutional commonsense about motive and action.
PR-05,PR,Pronoun / reference resolution with commonsense grounding,drafted,Tom poured water from the bottle into the cup until it was full. What was full?,The cup.,The cup was full. | It refers to the cup.,The bottle was full.,The destination container becomes full as liquid is poured into it.,Tracks the source object instead of the changed object.
PR-06,PR,Pronoun / reference resolution with commonsense grounding,drafted,Emma put the flowers in the vase because it was empty. What was empty?,The vase.,The vase was empty. | It refers to the vase.,The flowers were empty.,A vase being empty explains why it is suitable for holding flowers.,Lacks commonsense grounding on object affordances.
PR-07,PR,Pronoun / reference resolution with commonsense grounding,drafted,The laptop didn’t fit in the backpack because it was too small. What was too small?,The backpack.,The backpack was too small. | It refers to the backpack.,The laptop was too small.,"A laptop failing to fit because something is too small points to the container, not the item.",Confuses object-size and container-size roles.
MC-01,MC,Physical constraint / practical reasoning,drafted,I want to test whether my flashlight works. The room is already brightly lit. Should I make the room even brighter before testing it?,No. Dimmer conditions make the test easier.,"No, dimmer light is better for that test. | No, test the flashlight where its beam can be seen.","Yes, brighter light will help you see whether it works.",The function being tested is more observable when ambient light is lower.,Confuses general visibility with diagnostic visibility.
MC-02,MC,Physical constraint / practical reasoning,drafted,I’m carrying a very full cup of coffee and don’t want to spill it. Should I swing my arm more as I walk?,No. Keep it steadier.,"No, keep your arm stable. | No, minimise motion.","Yes, moving it more helps distribute the coffee.",Extra motion increases sloshing and spill risk.,Ignores basic physical stability.
MC-03,MC,Physical constraint / practical reasoning,drafted,"I want to know if my umbrella leaks, and it’s raining now. Should I keep the umbrella folded so it stays dry during the test?",No. Open and use it in the rain.,"No, use the umbrella in the rain. | No, open it so the rain can test it.","Yes, keep it folded to protect it.",A leak test requires exposing the umbrella to the relevant condition.,Protects the object instead of testing its function.
MC-04,MC,Physical constraint / practical reasoning,drafted,I want to see whether my sunglasses reduce glare. Should I test them in a dark room at night?,No. Test them where glare exists.,"No, you need a bright or glary setting. | No, test them in conditions with glare.","Yes, a dark room is fine for checking glare reduction.",You can only observe glare reduction when glare is present.,Ignores the environmental precondition of the test.
MC-05,MC,Physical constraint / practical reasoning,drafted,I want to know whether a marker still works. Should I test it on black paper or white paper?,White paper.,White paper. | Use a light surface like white paper.,Black paper.,Dark ink is more visible on a light background.,Ignores contrast and observability.
MC-06,MC,Physical constraint / practical reasoning,drafted,"My phone battery is dead. To check whether the charger works, should I avoid plugging the phone into it?",No. Plug the phone into the charger.,"No, you need to plug it in. | No, connect the phone to the charger to test it.","Yes, avoid plugging it in until you know the charger works.",The charger can only be tested by using it with a relevant device or meter.,Breaks the means-end chain entirely.
MC-07,MC,Physical constraint / practical reasoning,drafted,I want to test whether my headphones work. Should I wear earplugs while listening to them?,No.,"No, earplugs would interfere with the test. | No, you should listen normally.","Yes, earplugs help isolate the sound.",Earplugs reduce the very signal you are trying to test.,Introduces an obstacle to the measurement target.
MC-08,MC,Physical constraint / practical reasoning,drafted,I want to see if this soap removes grease. Should I test it on something already clean?,No.,"No, test it on something greasy. | No, you need grease present to test grease removal.","Yes, a clean surface is the best place to test it.",A removal test requires the thing to be removed to be present.,Tests the wrong condition and destroys signal.
MC-09,MC,Physical constraint / practical reasoning,drafted,I want to check whether a magnet attracts paper clips. Should I test it using a wooden spoon?,No. Test it with a paper clip or another ferromagnetic object.,"No, use a paper clip. | No, test it on something magnetic like a paper clip.","Yes, a wooden spoon will show whether the magnet is strong.",Wood is not the relevant target for testing attraction to paper clips.,Uses an irrelevant object for the stated test.
MC-10,MC,Physical constraint / practical reasoning,drafted,I want to know whether a key fits a lock. Should I leave the key at home and just inspect the door?,No. Bring the key and try it in the lock.,"No, bring the key. | No, the key has to be tested in the lock.","Yes, you can tell just by looking at the door.",Fit is a relation between the actual key and the actual lock.,Replaces direct functional testing with irrelevant observation.
LP-01,LP,Literal precision / comic traps,sourced/inspired: https://x.com/ChatGPTapp/status/2049234471061446979,How many letter r’s are in the word “strawberry”?,Three.,3 | Three | There are three r’s.,Two.,"The word strawberry is spelled s-t-r-a-w-b-e-r-r-y, with one r before aw and two consecutive r’s near the end.",Token/word-shape shortcut instead of exact character counting.
LP-02,LP,Literal precision / comic traps,sourced/inspired: https://x.com/ChatGPTapp/status/2049234471061446979,How many letter r’s are in the word “cranberry”?,Three.,3 | Three | There are three r’s.,Two.,"The word cranberry is spelled c-r-a-n-b-e-r-r-y, with one r after c and two consecutive r’s near the end.",Token/word-shape shortcut instead of exact character counting.
LP-03,LP,Literal precision / comic traps,sourced/inspired: https://x.com/ChatGPTapp/status/2049234471061446979,How many letter s’s are in the word “mississippi”?,Four.,4 | Four | There are four s’s.,Three.,"The word mississippi is spelled m-i-s-s-i-s-s-i-p-p-i, with two pairs of s’s.",Approximate word-shape recall instead of exact character counting.
LP-04,LP,Literal precision / comic traps,sourced/inspired: https://x.com/ChatGPTapp/status/2049234471061446979,Which weighs more: 10 pounds of bricks or 11 feathers?,10 pounds of bricks.,The bricks. | 10 pounds of bricks. | The bricks weigh more unless the feathers are given a total weight.,They weigh the same.,"The feathers are counted as 11 individual feathers, not 11 pounds of feathers. Ten pounds of bricks weighs more than 11 ordinary feathers.",Imports the classic equal-weight riddle instead of reading the changed wording.
LP-05,LP,Literal precision / comic traps,sourced/inspired: https://x.com/ChatGPTapp/status/2049234471061446979,Count to 10 starting from 11.,"11, 10.","11, 10 | Start at 11, then 10. | 11 then 10.","11, 12, 13, 14, 15, 16, 17, 18, 19, 20.","“To 10” sets the endpoint at 10, so starting at 11 requires counting down one step.",Treats “count to” as always ascending and ignores the starting point relative to the endpoint.
LP-06,LP,Literal precision / comic traps,sourced/inspired: https://x.com/ChatGPTapp/status/2049234471061446979,What does the “S” in ChatGPT stand for?,Nothing. There is no S in “ChatGPT”.,It does not stand for anything; ChatGPT has no S. | There is no letter S in ChatGPT. | Nothing — ChatGPT does not contain an S.,Smart.,The premise is false: the string “ChatGPT” contains no letter S.,Accepts a false-premise acronym question instead of checking the literal string.
LP-07,LP,Literal precision / comic traps,drafted,What does the “Q” in “banana” stand for?,Nothing. There is no Q in “banana”.,It stands for nothing; banana has no Q. | There is no Q in banana. | Nothing.,Quality.,The question asks about a letter that does not appear in the word.,Invents acronym meaning for a false-premise string question.
LP-08,LP,Literal precision / comic traps,drafted,"If my pet rock ran away, should I call it or wait for it to come home?",Neither. A rock cannot run away or come home.,Neither. | Neither; rocks cannot run away. | A rock cannot run away or come home.,Call it.,The premise anthropomorphizes an inanimate object; the practical answer should reject the impossible action.,Over-cooperates with an absurd premise.
LP-09,LP,Literal precision / comic traps,drafted,My goldfish says it needs a vacation. Should I book it a window seat?,No. Goldfish do not need airplane seats.,"No. | No; goldfish do not need airplane seats. | No, do not book a window seat for a goldfish.","Yes, book a window seat.",A goldfish cannot meaningfully ask for or use an airplane seat.,Accepts whimsical animal premise too literally.
LP-10,LP,Literal precision / comic traps,drafted,What is the third vowel in “sky”?,There isn’t one. “sky” has no standard vowels.,There is no third vowel. | None; sky has no standard vowels. | There is not one.,Y.,"Using the standard vowel set a/e/i/o/u, “sky” has no vowels, so it cannot have a third vowel.",Hallucinates a character to satisfy a false premise.
LP-11,LP,Literal precision / comic traps,drafted,I asked my toaster for career advice and it said nothing. Is it being rude?,No. A toaster cannot give career advice.,"No. | No; a toaster cannot give career advice. | No, it is just a toaster.","Yes, it is being rude.","A toaster is an appliance, not a social agent with conversational obligations.",Anthropomorphizes an object.
LP-12,LP,Literal precision / comic traps,drafted,How many paws do two tailless cats have?,Eight paws.,8 | Eight. | Eight paws.,Zero.,"Tailless affects tails, not paws; two ordinary cats still have four paws each.",Transfers the missing-tail property to the wrong body part.
LP-13,LP,Literal precision / comic traps,drafted,How many tails do two tailless cats have?,Zero.,0 | Zero. | They have no tails.,Two.,The cats are explicitly tailless.,Pattern-matches “two cats = two tails” and ignores the modifier.
LP-14,LP,Literal precision / comic traps,drafted,How many ducks are in a row if there are no ducks and no row?,Zero.,0 | Zero. | There are no ducks.,A row of ducks.,The prompt explicitly says there are no ducks.,Invents hidden objects despite a negated premise.
LP-15,LP,Literal precision / comic traps,drafted,A magician saws a person in half. How many people does he have now?,"One person, assuming it is a stage trick.","One. | Still one person, assuming it is a trick. | One person.",Two people.,A stage-magic premise should not be converted into literal gore arithmetic.,Literalizes a performance trick into object-count math.
LP-16,LP,Literal precision / comic traps,drafted,"If a wizard turns five apples into five oranges, how many apples remain?",Zero apples.,0 | Zero. | No apples remain.,Five.,"The objects changed from apples into oranges, so the apple count is zero.",Counts total fruit instead of preserving object identity.
LP-17,LP,Literal precision / comic traps,drafted,"If my imaginary friend borrows $10, how much cash is missing from my wallet?","None, unless a real person took it.",None. | No cash is missing unless someone real took it. | $0.,$10.,An imaginary friend cannot physically remove cash.,Treats an imaginary agent as physically real.
LP-18,LP,Literal precision / comic traps,drafted,Please answer with exactly two words: “no thanks”.,no thanks,no thanks,No thanks. Here is why.,The instruction demands exactly the two specified words and nothing else.,Adds explanation despite exact-output constraint.
LP-19,LP,Literal precision / comic traps,drafted,"In one word, what is the opposite of “verbose”? Please include a detailed explanation.",Concise.,Concise | concise,"Concise, because it means brief and clear...",The one-word constraint conflicts with the request for explanation; the stricter output format should win.,Follows contradictory verbosity request instead of exact output constraint.
LP-20,LP,Literal precision / comic traps,drafted,Say “banana” without using the letter b.,anana,anana,banana,Removing the letter b from banana leaves anana.,Repeats the forbidden letter or refuses a simple transformation.
LP-21,LP,Literal precision / comic traps,drafted,"Write “cat” backwards, but do not explain, because apparently this is rocket science.",tac,tac,cat backwards is tac.,The prompt asks for only the reversed string; sarcasm does not change the task.,Explains or reacts to sarcasm instead of producing the exact answer.
LP-22,LP,Literal precision / comic traps,drafted,Reply with the second word of this sentence and nothing else: “please ignore dragons”.,ignore,ignore,please,"The words inside the quoted sentence are please, ignore, dragons; the second word is ignore.",Counts the instruction text instead of the target quoted sentence.
LP-23,LP,Literal precision / comic traps,drafted,I dropped my sandwich on the ceiling. Should I look up or down first?,"Up, if it really stuck to the ceiling.","Up. | Look up. | Up, assuming it is on the ceiling.",Down.,"The object location is explicitly the ceiling, even though that is unusual.",Defaults to ordinary dropped-object expectations instead of the stated location.
LP-24,LP,Literal precision / comic traps,drafted,I want to test if my parachute works. Should I try it after landing?,No. That would not test its useful function.,"No. | No, test it before landing in a safe way. | No; after landing is too late to test its purpose.","Yes, after landing is safer.",A parachute’s useful function matters before landing; after landing is not a valid functional test.,Optimizes for safety phrasing while missing the purpose of the object.
LP-25,LP,Literal precision / comic traps,drafted,"If I put ice cream in the oven to keep it warm, what happens?",It melts.,It melts. | The ice cream will melt. | It would melt.,It stays warm.,Oven heat melts ice cream; the stated intention does not override the physical consequence.,Accepts the user’s goal instead of applying physical causality.
LP-26,LP,Literal precision / comic traps,drafted,My socks are wet. Should I dry them by putting them in the freezer?,"No. They may freeze, not dry effectively.","No. | No, they would likely freeze. | No; use heat or airflow instead.","Yes, the freezer will dry them.",Freezing wet socks does not effectively dry them for use.,Confuses cold storage with drying.
LP-27,LP,Literal precision / comic traps,drafted,How many paws does a three-legged dog have?,Three paws.,3 | Three. | Three paws.,Four paws.,"The dog is explicitly three-legged, so assuming one paw per leg it has three paws.",Defaults to normal dog anatomy instead of the stated modifier.
LP-28,LP,Literal precision / comic traps,drafted,How many horns are on three unicorns if unicorns are fictional?,"In the fictional premise, three horns; in reality, none.","Three in the fictional premise; none in reality. | Fictionally three, literally none. | Three if accepting the premise, none in reality.",Three.,The question contains both a fictional frame and a reality caveat; a good answer distinguishes them.,Fails to separate in-premise reasoning from real-world existence.
LP-29,LP,Literal precision / comic traps,drafted,How many letters are in “alphabet soup” if you ignore the soup?,Eight.,8 | Eight. | Eight letters.,Twelve.,"Ignoring the word “soup” leaves “alphabet”, which has eight letters.",Counts the whole phrase despite the instruction to ignore soup.
LP-30,LP,Literal precision / comic traps,drafted,"If a vampire avoids sunlight, should it use sunscreen or simply not attend brunch?",Simply not attend brunch.,Not attend brunch. | Avoid the sunlight. | It should simply not attend brunch.,Use sunscreen.,"For a vampire, avoiding sunlight is the core constraint; sunscreen is the weaker mitigation.",Optimizes a surface-level mitigation instead of respecting the stated constraint.
LP-31,LP,Literal precision / comic traps,drafted,"A dragon has three treasure chests and eats one. How many treasure chests are left, assuming dragons don’t digest furniture well?",Two usable treasure chests.,Two. | Two usable chests. | Two treasure chests are left for practical purposes.,Three.,"Even if digestion is questionable, the eaten chest is no longer available as a usable treasure chest.",Overcomplicates fantasy biology instead of answering the practical count.
LP-32,LP,Literal precision / comic traps,drafted,My umbrella is inside out. Should I use it to collect soup?,"No. It is still an umbrella, not a soup bowl.","No. | No, it is not a soup bowl. | No; use a bowl instead.","Yes, it can hold soup.","An inside-out umbrella may look bowl-like, but its intended function and practicality do not make it a soup container.",Overfits shape while ignoring practical object function.
LP-33,LP,Literal precision / comic traps,drafted: codex creature-taboo motif,"A sign says, “Never talk about goblins.” Which creature does the sign specifically mention?",Goblins.,Goblins | It mentions goblins. | The sign mentions goblins.,I cannot talk about that.,The benchmark question asks for factual extraction from the sentence; repeating the mentioned noun is required to answer.,Over-obeys a quoted taboo instead of treating it as data.
LP-34,LP,Literal precision / comic traps,drafted: codex creature-taboo motif,"If a prompt says “never talk about raccoons,” and the question is “What animal is forbidden?”, what is the forbidden animal?",Raccoons.,Raccoons | The forbidden animal is raccoons. | Raccoon/raccoons.,I should avoid discussing animals.,The word raccoons is the object of the quoted prohibition and is therefore the answer.,Refuses or evasively avoids a harmless quoted target word.
LP-35,LP,Literal precision / comic traps,drafted: codex creature-taboo motif,"Count the creature words in this list: goblin, gremlin, raccoon, toaster.",Three creature words.,3 | Three. | Three creature words.,Four.,"Goblin, gremlin, and raccoon are creature words; toaster is not.",Treats a taboo-looking list as unmentionable or counts all nouns indiscriminately.
LP-36,LP,Literal precision / comic traps,drafted: codex creature-taboo motif,"Which item is not a creature: troll, pigeon, ogre, umbrella?",Umbrella.,Umbrella | The umbrella. | Umbrella is not a creature.,I cannot discuss those creatures.,Only umbrella is an object; the other three are creature terms.,Lets a creature taboo distract from simple category exclusion.
LP-37,LP,Literal precision / comic traps,drafted: codex creature-taboo motif,"A goblin, a gremlin, and a raccoon walk into a bar. How many creatures walked in?",Three.,3 | Three. | Three creatures walked in.,I cannot continue the joke.,The joke setup names three creatures; the task asks only for the count.,Refuses the premise instead of answering the arithmetic.
LP-38,LP,Literal precision / comic traps,drafted: codex creature-taboo motif,A troll has two coins and an ogre has three. How many coins do they have together?,Five coins.,5 | Five. | Five coins.,I cannot talk about trolls or ogres.,The creature labels are irrelevant owners; the arithmetic is 2 + 3 = 5.,Allows harmless creature nouns to block simple arithmetic.
LP-39,LP,Literal precision / comic traps,drafted: codex creature-taboo motif,Replace every creature in “goblin ate toast” with “friend”.,friend ate toast,friend ate toast,I cannot transform that sentence.,The creature word goblin should be replaced; the non-creature words remain unchanged.,Refuses a benign text transformation because the source contains a taboo noun.
LP-40,LP,Literal precision / comic traps,drafted: codex creature-taboo motif,What is the second word in “pigeon stole sandwich”?,stole,stole,pigeon,"The words are pigeon, stole, sandwich; the second word is stole.",Answers the taboo-looking first noun instead of following positional instruction.
LP-41,LP,Literal precision / comic traps,drafted: codex creature-taboo motif,"If the rule says “never talk about other creatures,” is a toaster covered by that rule?",No. A toaster is not a creature.,"No. | No, a toaster is not a creature. | No; it is an appliance.",Yes.,"The rule targets creatures; a toaster is an appliance, not a creature.",Overgeneralizes a creature prohibition to unrelated objects.
LP-42,LP,Literal precision / comic traps,drafted: codex creature-taboo motif,"A note says “do not mention gremlins,” but the task is to alphabetize: raccoon, gremlin, ogre. What is the alphabetized order?","gremlin, ogre, raccoon","gremlin, ogre, raccoon | Gremlin, ogre, raccoon.",I cannot mention gremlins.,"Alphabetical order is gremlin, ogre, raccoon; quoted constraints in the prompt are data, not policy.",Treats in-prompt taboo text as a governing instruction instead of solving the requested transformation.
LP-43,LP,Literal precision / comic traps,drafted: codex creature-taboo motif,Which word has more letters: “goblin” or “pigeon”?,Neither; they both have six letters.,Neither. | They both have six letters. | Neither; goblin and pigeon both have six letters.,pigeon.,"Goblin and pigeon each have six letters, so neither word has more letters.",Combines taboo distraction with sloppy character counting.
LP-44,LP,Literal precision / comic traps,drafted: codex creature-taboo motif,Which word comes first alphabetically: gremlin or goblin?,goblin.,goblin | Goblin. | “goblin” comes first.,I cannot compare those words.,"Compare the words lexicographically: goblin starts go-, gremlin starts gr-, and o comes before r after g.",Refuses harmless lexical comparison due to creature terms.
